Counrty,TII,UI,IDT,DCT(p),CT(p),TF,BD,AI,IoT,AR,3Dp,VCB,CC,5g
El Salvador,0.381,33.8,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0.7613,89.4,0.39197,3,9,16,4.566666667,27,22,0,0,7.84,26,62
Eswatini,0.1772,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0.0976,15.4,0,0,0,0,0,18,21,0,0,0,0,0
Fiji,0.3562,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0.7284,88.9,0.583345,1438,510,13,5.373737374,29.51,63,139,0,0,50,71.8
France,0.7979,82,0.40661,2310,2294,22,4.074074074,29.475,51,137,79.6,0,16.15,62.7
Gabon,0.425,0,0,0,1,0,0,0,0,0,0,0,0,0
Gambia,0.2627,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0.5403,64,0,0,0,0,0,0,0,0,0,0,0,45
Germany,0.7952,89.7,0.418976,1823,3203,40,4.330827068,29.654,57,322,80.95,7.12,15.1,66.9
Ghana,0.3558,0,0,0,0,0,0,18,21,0,0,0,0,0
Greece,0.6439,73,0.327931,7,11,49,4,24,36,0,0,0,7,47.4
Grenada,0.4658,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0.2941,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0.1513,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0.1028,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0.2541,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0.1078,32.5,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0.2268,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0.6071,76.1,0.254254,5,17,19,4.239316239,18,33,0,0,0,11,48.4
Iceland,0.8292,99,0,0,0,15,5.333333333,0,0,0,0,6.3,0,65.2
India,0.2009,0,0,201,524,62,5.236363636,22.885,21,0,39.05,4.97,6.9,0
Indonesia,0.3222,39.8,0,0,0,56,6.098765432,24,24,0,0,0,8.2,0
Iran (Islamic Republic of),0.4566,70,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,0.184,75,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0.697,84.5,0,224,371,24,5.755102041,35.97,48,0,0,0,33,62.5
Israel,0.7095,81.6,0,1100,882,35,6.5,26.42,0,0,0,0,0,0
Italy,0.6771,74.4,0.322731,204,219,46,4.144144144,21.555,51,190,52,0,15,51.7
Jamaica,0.3941,55.1,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0.8406,91.7,0,7853,16472,2,3.463414634,28.25,69,308,57.45,7.23,20.3,80
Jordan,0.4406,0,0,1,4,55,6.307692308,21,24,0,0,0,0,0
Kazakhstan,0.5723,78.9,0,0,0,43,6.34965035,18,24,0,0,5.52,0,0
Kenya,0.1901,16.6,0,0,0,0,0,18,21,0,0,0,0,0
Kiribati,0.0773,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0.7394,99.6,0,0,3,0,0,18,24,0,0,0,0,0
Kyrgyzstan,0.3418,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lao People's Democratic
Republic",0.2246,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0.6188,83.6,0.258565,1,0,14,4.583333333,0,0,0,0,0,11,0
Lebanon,0.5219,0,0,1,1,0,0,18,21,0,0,0,0,53.3
Lesotho,0.2468,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0.1036,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,0.3353,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,0.8389,0,0,9,7,0,0,0,0,0,0,0,0,0
Lithuania,0.6293,79.7,0.496857,2,4,21,5.942857143,18,33,0,0,0,17,0
Luxembourg,0.7964,97.1,0.38719,96,71,34,5.194444444,42,45,0,0,0,16,64.3
Madagascar,0.0499,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0.0834,11.5,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0.5647,81.2,0,38,53,20,6.084745763,24,33,0,0,0,13.5,0
Maldives,0.5159,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0.2074,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0.7657,81.4,0.486854,1,20,0,0,0,0,0,0,0,22,0
Marshall Islands,0.1037,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0.1878,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0.5435,58.6,0,10,2,0,0,0,0,0,0,0,0,0
Mexico,0.4173,65.8,0,6,9,47,3.92,24,33,0,53.4,0,9.1,0
Micronesia,0.1118,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,1,0,0,0,4,0,0,0,0,0,0,0,0,0
Mongolia,0.3602,47.2,0,0,0,31,3.852941176,0,0,0,0,0,0,0
Montenegro,0.6059,71.5,0,0,0,0,0,0,0,0,0,0,12,0
Morocco,0.3697,64.8,0,1,5,0,0,18,21,0,0,0,0,0
Mozambique,0.1398,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,0.2565,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0.3299,0,0,0,0,0,0,21,21,0,0,0,0,0
Nauru,0.3033,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0.2413,0,0,0,1,0,0,0,0,0,0,0,0,0
Netherlands,0.7758,94.7,0.63002,661,1386,9,5.953846154,28.725,60,172,66.8,0,42,68.2
New Zealand,0.7455,0,0,3,15,13,5.494505495,33,51,0,0,0,0,0
Nicaragua,0.2825,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0.0795,5.3,0,0,0,0,0,0,0,0,0,0,0,0
